E I N G A B E T E I L;;;2024;2023;2022;2021;2020
;;Stadtwerke Delmenhorst;EUR;EUR;EUR;EUR;EUR

1;B I L A N Z   :   A K T I V A;;129.658.900,5;142.069.362,8;122.066.829,4;111.014.843,6;0,0

;A. Anlagevermögen;;108.623.999,6;106.275.992,2;102.994.693,0;101.091.670,8;0,0
;I. Immaterielle Vermögenswerte;;1.064.084,0;1.201.256,0;696.756,0;733.154,0;0,0
;1. Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte;;0,0;0,0;0,0;0,0;0,0
;2. Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte;;1.064.084,0;1.201.256,0;696.756,0;733.154,0;0,0
;3. Geschäfts- und Firmenwert;;0,0;0,0;0,0;0,0;0,0
;4. geleistete Anzahlungen;;0,0;0,0;0,0;0,0;0,0
;II. Sachanlagen;;98.421.215,6;95.936.036,2;93.159.237,0;91.219.816,8;0,0
;1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundst.;;14.698.216,5;10.460.031,5;10.999.587,5;11.725.923,5;0,0
;2. Technische Anlagen und Maschinen;;64.326.929,8;61.422.185,1;59.839.225,9;57.613.079,6;0,0
;3. Andere Anlagen, Betriebs- und Geschäftsausstattung;;16.228.021,0;15.585.694,0;16.837.810,0;17.861.356,0;0,0
;4. Geleistete Anzahlungen und Anlagen im Bau;;3.168.048,3;8.468.125,6;5.482.613,6;4.019.457,7;0,0
;III. Finanzanlagen;;9.138.700,0;9.138.700,0;9.138.700,0;9.138.700,0;0,0
;1. Anteile an verbundenen Unternehmen;;2.870.000,0;2.870.000,0;2.870.000,0;2.870.000,0;0,0
;2. Ausleihungen an verbundene Unternehmen;;0,0;0,0;0,0;0,0;0,0
;3. Beteiligungen;;6.268.700,0;6.268.700,0;6.268.700,0;6.268.700,0;0,0
;4. Ausleihungen an Unternehmen mit denen ein Beteiligungsverhältnis besteht;;0,0;0,0;0,0;0,0;0,0
;5. Wertpapiere des Anlagevermögens;;0,0;0,0;0,0;0,0;0,0
;6. Sonstige Ausleihungen und Finanzanlagen;;0,0;0,0;0,0;0,0;0,0

;B. Umlaufvermögen;;20.902.782,3;35.653.105,8;18.990.585,0;9.855.294,9;0,0
;I. Vorräte;;3.582.292,0;3.648.062,4;2.867.265,7;2.516.068,6;0,0
;1. Roh-, Hilfs- und Betriebsstoffe;;2.842.370,5;2.035.832,2;2.004.005,6;2.049.603,4;0,0
;2. Unfertige Erzeugnisse und Leistungen;;0,0;0,0;0,0;0,0;0,0
;3. Fertige Erzeugnisse und Waren;;5.512,7;303.664,6;8.090,3;0,0;0,0
;4. Geleistete Anzahlungen;;734.408,8;1.308.565,6;855.169,9;466.465,2;0,0
;II. Forderungen und sonstige Vermögenswerte;;5.321.836,0;3.073.619,7;8.331.049,0;6.191.615,2;0,0
;1. Forderungen aus Lieferungen und Leistungen;;1.521.481,7;1.194.188,9;1.555.624,8;1.414.321,6;0,0
;2. Forderungen gegen verbundene Unternehmen;;760.728,3;442.923,3;1.384.743,4;448.998,0;0,0
;3. Forderungen gegen Unternehmen mit denen ein Beteiligungsverhältnis besteht;;0,0;0,0;0,0;0,0;0,0
;4. Sonstige Vermögenswerte;;3.039.625,9;1.436.507,6;5.390.680,8;4.328.295,6;0,0
;III. Wertpapiere;;0,0;0,0;0,0;0,0;0,0
;1. Anteile an verbundenen Unternehmen;;0,0;0,0;0,0;0,0;0,0
;2. Sonstige Wertpapiere;;0,0;0,0;0,0;0,0;0,0
;IV. Kassenbestand, Guthaben bei Kreditinstituten;;11.998.654,3;28.931.423,8;7.792.270,3;1.147.611,2;0,0

;C. Rechnungsabgrenzungsposten;;132.118,6;140.264,7;81.551,4;67.877,9;0,0
;D. Aktive latente Steuern;;0,0;0,0;0,0;0,0;0,0
;E. Aktiver Unterschiedsbetrag aus der Vermögensverrechnung;;0,0;0,0;0,0;0,0;0,0

2;B I L A N Z   :   P A S S I V A;;129.658.900,5;142.069.362,8;122.066.829,4;111.014.843,6;0,0

;A. Eigenkapital;;36.740.510,2;36.425.510,2;36.110.510,2;35.795.510,2;0,0
;I. Gezeichnetes Kapital;;20.000.000,0;20.000.000,0;20.000.000,0;20.000.000,0;0,0
